rid,age,race,latino,vote12,vote16,media,partyid,income,obama.th,trump.th,biden.th
2720,50,1,2,1,1,2,2,6,15,90,5
2721,63,1,2,1,1,1,1,5,75,0,90
2722,38,1,2,2,,3,2,14,50,85,30
2723,57,1,2,2,1,1,1,1,100,0,90
2724,28,2,2,1,,2,1,13,100,0,85
2725,35,1,2,2,2,2,1,2,85,100,50
2726,58,5,2,1,1,3,5,12,100,50,70
2727,59,1,2,1,,2,2,1,67,70,35
2728,57,1,2,1,,2,3,15,60,40,70
2729,68,2,2,1,1,1,1,6,100,0,100
2730,22,1,2,2,1,2,5,15,60,0,10
2731,26,3,1,1,1,3,3,8,90,0,55
2732,69,1,2,1,,3,1,7,30,60,30
2733,66,1,2,1,1,2,3,20,85,15,85
2734,67,1,2,1,1,1,3,9,100,0,100
2735,47,,2,1,,3,1,,85,0,60
2736,41,1,2,1,1,3,2,19,10,85,0
2737,41,1,2,1,1,3,2,19,0,100,0
2738,36,1,2,1,1,1,1,17,100,0,85
2739,55,1,2,1,,1,1,10,95,0,80
2740,62,1,2,1,,1,2,15,,,0
2741,36,6,2,2,,3,3,2,60,0,60
2742,24,1,2,2,1,2,1,16,45,30,60
2743,32,6,2,1,,3,2,19,15,70,15
2744,43,2,2,2,,2,3,12,60,40,50
2745,68,1,2,1,,2,1,22,85,85,50
2746,37,1,2,1,,3,1,12,100,0,70
2747,44,1,2,1,,3,3,20,60,0,60
2748,68,1,2,1,,2,2,6,0,85,0
2749,74,3,1,1,1,2,1,11,100,0,100
2750,37,3,1,1,1,4,1,2,100,30,70
2751,26,1,2,2,1,4,5,5,50,0,50
2752,64,1,2,1,1,1,2,21,15,90,15
2753,26,6,2,1,1,3,3,21,77,77,77
2754,39,1,2,2,2,4,3,14,70,50,50
2755,71,4,2,,1,2,2,14,,85,0
2756,72,1,2,1,1,2,1,19,100,0,70
2757,63,1,2,1,1,2,1,17,100,0,99
2758,30,1,2,1,,3,3,18,85,0,50
2759,40,1,2,1,,2,1,22,100,0,70
2760,38,3,1,2,,2,3,4,85,0,70
2761,61,1,2,2,,2,2,7,30,85,15
2762,28,1,2,1,,2,1,15,99,0,70
2763,76,1,2,1,,2,2,7,0,100,0
2764,80,1,2,1,,3,1,1,50,70,60
2765,63,1,2,1,,3,2,22,0,100,0
2766,57,1,2,1,,1,2,21,0,85,15
2767,42,3,1,1,1,2,2,14,50,100,0
2768,47,1,2,1,,1,3,8,95,0,85
2769,50,1,2,1,,2,1,7,90,,85
2770,68,1,2,1,1,2,3,,65,40,50
2771,65,1,2,1,,1,1,14,95,0,95
2772,,1,2,1,1,3,5,16,50,30,60
2773,29,1,2,1,,2,3,10,0,100,0
2774,31,1,2,1,1,1,2,10,5,99,0
2775,45,1,2,1,1,1,1,3,100,0,100
2776,58,1,2,1,1,2,2,15,0,100,0
2777,66,1,2,1,1,1,1,9,100,0,100
2778,37,5,2,1,1,2,3,10,50,50,50
2779,28,1,2,1,,4,3,9,85,1,50
2780,76,1,2,2,,3,2,3,0,85,0
2781,31,1,2,1,,1,1,14,100,2,100
2782,64,5,2,1,1,2,2,1,15,100,15
2783,71,1,2,1,1,1,3,10,0,100,0
2784,30,1,2,1,1,2,1,15,70,15,60
2785,65,1,2,1,,,1,1,70,30,60
2786,70,1,2,1,1,3,1,11,100,0,85
2787,73,3,1,2,1,2,2,2,15,100,0
2788,37,1,2,2,2,4,1,10,85,0,60
2789,62,1,2,1,,1,1,14,100,0,100
2790,37,1,2,1,1,,2,15,20,85,15
2791,76,3,1,1,1,2,1,1,100,,100
2792,72,3,1,1,2,3,3,2,70,40,50
2793,50,2,2,1,1,2,1,1,100,40,100
2794,57,1,2,1,1,1,3,21,40,40,50
2795,25,1,2,2,,4,1,5,50,50,50
2796,69,1,2,1,1,1,1,19,100,0,85
2797,40,6,2,1,1,2,1,18,100,0,40
2798,30,1,2,1,1,2,1,1,100,0,80
2799,38,1,2,2,,4,3,17,60,40,40
2800,51,1,2,1,1,2,2,20,15,85,0
2801,68,1,2,1,1,1,2,6,0,70,0
2802,57,1,2,1,,1,1,19,100,0,100
2803,55,1,2,2,1,2,2,8,20,85,0
2804,55,1,2,1,1,1,1,12,100,0,85
2805,68,1,2,1,,2,2,8,15,85,30
2806,26,1,2,2,,,3,10,60,85,15
2807,59,3,1,1,1,2,2,15,50,50,50
2808,57,1,2,1,,2,1,12,100,0,100
2809,52,2,2,2,,2,3,9,0,100,0
2810,69,1,2,1,1,1,2,11,0,85,30
2811,52,1,2,2,,2,2,20,15,100,15
2812,66,3,1,2,1,3,3,16,85,60,70
2813,55,1,2,1,1,1,1,19,,0,100
2814,39,6,2,2,2,2,1,17,100,0,70
2815,34,1,2,1,1,,1,22,100,0,85
2816,77,1,2,1,1,,2,11,0,100,0
2817,41,1,2,1,1,2,3,22,15,15,30
2818,61,1,2,1,1,2,3,19,0,100,0
2819,59,3,1,1,,1,3,4,30,85,0
2820,25,3,1,2,,3,3,21,70,30,0
2821,37,1,2,1,1,3,1,20,85,15,70
2822,68,1,2,1,1,1,1,7,100,0,85
2823,29,1,2,1,1,2,1,13,100,0,70
2824,60,4,2,1,1,2,1,20,85,40,70
2825,58,1,2,2,1,3,2,17,15,100,0
2826,74,1,2,1,1,2,2,18,15,85,15
2827,28,1,2,2,1,2,2,17,70,70,30
2828,63,1,2,1,1,1,2,16,0,100,0
2829,55,1,2,1,1,1,5,22,5,95,10
2830,24,3,1,1,1,2,1,4,100,0,100
2831,24,3,1,2,1,1,1,4,100,0,85
2832,58,1,2,1,1,2,2,19,69,60,60
2833,70,1,2,1,,3,3,21,70,0,50
2834,65,4,2,2,,3,3,17,70,15,50
2835,40,1,2,1,1,,1,,85,0,85
2836,66,1,2,1,1,2,1,11,100,0,100
2837,60,3,1,1,1,1,1,2,100,0,100
2838,,,,1,1,2,3,,70,60,60
2839,28,6,2,1,1,,1,12,100,0,70
2840,33,2,2,1,2,2,1,22,60,40,60
2841,67,2,2,1,1,,3,14,100,15,85
2842,36,1,2,1,1,3,2,15,0,100,0
2843,80,1,2,1,1,3,2,10,50,70,40
2844,21,1,2,2,2,2,3,16,65,0,10
2845,29,1,2,1,2,3,3,15,80,10,50
2846,80,1,2,2,,3,2,4,70,60,40
2847,26,4,2,1,,2,3,11,100,0,85
2848,25,2,2,2,1,3,,8,100,,
2849,52,1,2,2,2,3,3,20,15,60,15
2850,61,1,2,1,1,1,1,22,85,0,70
2851,29,1,2,1,1,2,1,17,100,15,70
2852,56,1,2,1,1,3,3,14,90,0,85
2853,38,6,2,2,,2,2,17,15,100,0
2854,,1,2,1,1,2,1,,85,0,70
2855,63,1,2,1,,3,5,14,0,85,0
2856,54,1,2,1,1,2,3,13,0,95,13
2857,80,1,2,1,,2,2,7,10,85,30
2858,47,1,2,2,2,3,2,17,50,85,0
2859,24,3,1,2,2,2,1,16,85,0,65
2860,50,1,2,2,2,3,3,5,60,40,60
2861,25,1,2,2,,,1,10,85,30,60
2862,24,1,2,2,1,1,3,1,85,0,85
2863,57,1,2,1,1,2,1,12,100,0,100
2864,62,1,2,1,,2,2,,0,85,0
2865,34,2,2,1,,4,3,1,50,50,50
2866,41,3,1,2,,2,3,8,100,50,
2867,42,1,2,1,1,2,3,11,0,100,0
2868,37,2,2,1,1,3,3,1,100,15,60
2869,34,1,2,2,,,2,,0,85,0
2870,73,1,2,1,,2,2,4,50,100,40
2871,22,1,2,2,,2,1,18,85,0,85
2872,80,1,2,1,,3,3,1,85,15,100
2873,73,1,2,1,1,1,1,18,85,0,50
2874,78,1,2,1,,2,1,14,100,0,85
2875,27,1,2,2,,3,1,8,85,0,60
2876,,1,2,1,1,2,1,,99,0,87
2877,80,1,2,2,,3,2,4,50,60,0
2878,49,1,2,1,,,3,5,0,85,0
2879,68,3,1,1,,3,2,15,40,100,40
2880,60,2,2,2,,3,3,17,60,0,100
2881,65,2,2,1,,4,1,1,100,60,85
2882,21,1,2,2,2,3,3,22,0,40,0
2883,21,2,2,2,,3,1,14,100,0,100
2884,73,1,2,1,2,4,2,2,40,8,0
2885,66,1,2,1,,2,1,2,100,0,100
2886,35,1,2,2,,1,3,11,90,0,40
2887,34,3,1,1,1,4,2,,0,85,0
2888,60,2,2,1,1,2,1,7,100,0,90
2889,43,3,1,,,3,,,,,
2890,80,1,2,1,1,1,2,17,15,85,0
2891,28,1,2,2,1,3,1,2,85,0,60
2892,26,1,2,1,,1,1,15,85,0,65
2893,23,1,2,2,,2,2,1,0,100,0
2894,69,1,2,1,,2,2,1,40,70,30
2895,63,1,2,1,1,4,3,3,100,0,85
2896,48,1,2,2,,3,2,19,0,70,0
2897,55,1,2,1,1,2,1,22,100,0,65
2898,26,1,2,2,,3,3,17,85,0,60
2899,44,1,2,1,1,,1,18,70,0,60
2900,31,1,2,1,1,2,1,1,100,0,60
2901,62,1,2,1,,,2,10,70,85,30
2902,30,1,2,2,,2,3,17,30,0,15
2903,60,3,1,1,1,,3,6,100,100,50
2904,34,1,2,1,1,3,1,18,85,15,70
2905,52,1,2,2,2,2,1,22,100,0,85
2906,,1,2,1,1,2,3,,60,85,15
2907,41,1,2,2,2,,1,3,85,0,100
2908,40,1,2,1,,,1,16,70,15,45
2909,73,1,2,1,1,2,1,12,70,100,85
2910,,4,2,1,,3,1,20,70,0,70
2911,80,1,2,1,1,1,1,15,70,15,85
